profile_id,rank,rating,steam_id,icon,name,clan,country,previous_rating,highest_rating,streak,lowest_streak,highest_streak,games,wins,losses,drops,last_match,last_match_time
271202,1,2562,76561198000635167,,SalzZ_Vinchester,,RU,2556,2562,9,-6,18,1177,799,378,6,1653479731,1653479731
197388,2,2556,76561198088251629,,GL.TaToH,TaToH,ES,2554,2556,24,-6,24,801,573,228,4,1653249404,1653249404
251265,3,2540,76561197996386232,,[aM]_TheMbL_,,NO,2534,2552,5,-9,23,3134,2237,897,88,1653422371,1653422371
199325,4,2540,76561198449406083,,[aM] Hera,,CA,2533,2640,3,-6,36,2888,2000,888,16,1653497876,1653497876
1862892,5,2526,76561199032160044,,The Last AMIGO,,SI,2521,2526,6,-6,24,506,319,187,1,1653488075,1653488075
197964,6,2524,76561198179087382,,_WWP_Yo,WWP,CN,2517,2556,3,-6,11,1547,985,562,17,1653414417,1653414417
208393,7,2521,76561198027378107,,Nicov,,AR,2515,2582,2,-4,22,1281,938,343,8,1653391357,1653391357
212721,8,2517,76561198116921964,,mYi.Sitaux,FrCo,FR,2510,2590,4,-5,29,747,516,231,5,1653443755,1653443755
254415,9,2516,76561198011417995,,Modri,,SI,2524,2533,-2,-8,12,822,520,302,9,1652865484,1652865484
666976,10,2510,76561198275359848,,_Barles_,,PL,2519,2537,-1,-7,12,2048,1281,767,9,1653479170,1653479170
1754629,11,2505,76561198807828662,,SalzZ_classicpro,,UA,2513,2530,-1,-8,22,1334,820,514,5,1653473576,1653473576
347269,12,2503,76561198364718180,,ACCM |AOEbuilds.com,,VN,2498,2532,3,-7,25,2846,1939,907,40,1653450816,1653450816
409748,13,2481,76561198099659716,,Capoch,,AR,2490,2522,-1,-6,13,1183,720,463,11,1653365838,1653365838
196310,14,2479,76561198275970890,,[KGB] F1Re,1KGB1,BR,2490,2508,-2,-8,28,1974,1446,528,11,1653438076,1653438076
199170,15,2468,76561197992981071,,dogao,,BR,2459,2520,2,-5,32,1417,1055,362,16,1653496020,1653496020
628503,16,2465,76561198036586732,,Valas,,FI,2456,2515,1,-7,16,1498,869,629,2,1653479170,1653479170
213305,17,2463,76561198152110843,,mYi.PROject_Belgium,,BE,2472,2485,-1,-9,19,3381,1983,1398,12,1653498093,1653498093
208611,18,2457,76561198325239137,,Villese,,FI,2453,2584,2,-7,19,2332,1535,797,4,1653062203,1653062203
9695965,19,2456,76561199248045654,,中菜鸟,,JP,2446,2456,5,-3,30,170,135,35,1,1653324419,1653324419
9473909,20,2452,76561199240324201,,Kalashnicov,,AR,2458,2526,-3,-7,60,233,176,57,0,1653422371,1653422371
2090225,21,2443,76561198242526658,,miguel,,BR,2435,2486,2,-10,22,2007,1155,852,12,1653417060,1653417060
2858362,22,2429,76561198400058723,,GL.JorDan_AoE,,DE,2420,2574,1,-10,27,1348,775,573,12,1653498093,1653498093
256338,23,2426,76561198007187809,,Running,,DE,2419,2452,1,-8,13,2404,1375,1029,19,1653345967,1653345967
582058,24,2420,76561198032611326,,[aM] Hearttt,,PE,2412,2468,4,-7,13,1594,956,638,17,1652831749,1652831749
614315,25,2415,76561198135964589,,GL.slam,,CA,2411,2517,5,-8,14,3261,1957,1304,17,1653467006,1653467006
312938,26,2406,76561198272641645,,BacT,,VN,2414,2505,-3,-8,15,2549,1646,903,15,1653457221,1653457221
1486575,27,2406,76561199021127843,,d.,,BR,2453,2506,7,-6,20,1302,945,357,6,1651326613,1651326613
265517,28,2405,76561198198305605,,mYi.Daniel,,US,2396,2484,1,-11,10,1833,983,850,9,1653431588,1653431588
2097181,29,2400,76561199014239939,,CELTS,,VN,2384,2410,1,-9,31,3922,2232,1690,45,1652663222,1652663222
198035,30,2389,76561198044559189,,GL.DauT,DauT,RS,2398,2477,-5,-9,30,1779,1057,722,14,1653360004,1653360004
716717,31,2385,76561198367310298,,_Ares_StrayDog,AreS,CN,2380,2403,6,-9,12,1650,960,690,23,1653482627,1653482627
945852,32,2364,76561198075555979,,Lucky Porn,Biry,AR,2355,2364,3,-8,16,1099,618,481,8,1652897310,1652897310
3230529,33,2363,76561198098401046,,IamChris,,CA,2408,2434,-4,-13,24,932,549,383,9,1652053571,1652053571
2783660,34,2359,76561199062883266,,DS_Sebastian2002,Biry,UY,2367,2367,-1,-7,8,1581,860,721,20,1653420961,1653420961
5416282,35,2351,76561199159318317,,Bambino,,AR,2368,2368,-1,-5,40,340,223,117,3,1652514613,1652514613
419803,36,2350,76561198419918984,,saymyname,,VN,2365,2412,-2,-7,16,2302,1446,856,62,1653303952,1653303952
2733015,37,2347,76561199061294107,,SongSong_AOE,,VN,2364,2499,-1,-10,24,2388,1329,1059,19,1653484434,1653484434
1531083,38,2346,76561198056609593,,FreakinAndy,,AT,2339,2346,7,-8,11,769,443,326,6,1653431732,1653431732
1252385,39,2342,76561199014766072,,Carpincho,,AR,2349,2367,-1,-7,10,389,229,160,5,1652516808,1652516808
3552644,40,2339,76561199096859133,,Tolko_III,,CA,2348,2357,-2,-5,20,157,122,35,0,1652331009,1652331009
2621722,41,2339,76561198046946243,,Twigg,Biry,AR,2346,2370,-2,-9,18,1218,678,540,17,1653447338,1653447338
5057225,42,2333,76561199141041360,,Rumbling,NAPS,CL,2328,2333,4,-4,25,369,234,135,3,1653244863,1653244863
459658,43,2333,76561199003184910,,[C_E_T] HOANG AOEBuilds.com,,VN,2344,2413,-2,-9,13,4398,2527,1871,51,1653202770,1653202770
4351237,44,2328,76561199114437308,,damdamdeo,,FR,2325,2405,5,-4,40,198,149,49,1,1653155838,1653155838
2850727,45,2328,76561199066211784,,Teclis,,AR,2278,2411,2,-6,31,355,236,119,12,1652930379,1652930379
3101322,46,2327,76561198151895411,,Whitecourt,RoR,CL,2313,2340,5,-6,14,1045,581,464,3,1653448868,1653448868
226575,47,2314,76561198313422112,,_WWP_lyx,WWP,CN,2303,2417,2,-7,10,1560,877,683,14,1653313818,1653313818
553584,48,2312,76561198259178727,,[bK]martinhs_,bKlan,BR,2307,2320,1,-10,17,1037,582,455,6,1653444616,1653444616
576919,49,2310,76561198082024695,,Babaorum,,FR,2303,2403,3,-9,15,2463,1406,1057,13,1653336524,1653336524
1407942,50,2302,76561198121306763,,3D!Dark,,RU,2293,2449,1,-11,9,2515,1297,1218,18,1653385138,1653385138
534438,51,2299,76561198353932671,,_WWP_Tim_,WWP,CN,2341,2397,-3,-7,12,913,592,321,14,1651553653,1651553653
182749,52,2296,76561198131139989,,The_Dragonstar,,IN,2288,2453,2,-9,14,1813,1081,732,41,1653403484,1653403484
4976729,53,2295,76561199137338400,,Freestyler,HymTr,TR,2283,2295,2,-7,17,405,229,176,0,1653158853,1653158853
728551,54,2294,76561198355342951,,RiskyDice,Biry,JP,2282,2327,1,-7,12,677,426,251,8,1652536360,1652536360
371044,55,2287,76561198336550227,,Skillyourself,,NO,2328,2328,8,-14,19,506,292,214,7,1651190488,1651190488
579679,56,2284,76561198425688505,,Margougou,SINGE,FR,2325,2366,7,-7,10,1277,717,560,14,1652227314,1652227314
1389164,57,2284,76561198240662592,,The Illusionist,CZC,SK,2275,2305,5,-7,10,1383,739,644,21,1653227056,1653227056
2792305,58,2281,76561198096340360,,BL4CKITO,Biry,AR,2272,2281,4,-9,13,4409,2253,2156,32,1653460341,1653460341
9997273,59,2280,76561199266864844,,FromZerotoHero,,BR,2272,2291,3,-2,47,81,75,6,1,1652930012,1652930012
2559615,60,2277,76561199054259190,,Villiams!,,AT,2273,2307,2,-9,13,1062,574,488,4,1652838285,1652838285
5551503,61,2276,76561199161812712,,Bố thiên hạ,LuLe,VN,2283,2407,-1,-4,23,203,154,49,2,1652778327,1652778327
4632681,62,2276,76561198439558568,,Overtaken,,EE,2269,2409,1,-7,17,1661,894,767,15,1653500030,1653500030
4620061,63,2274,76561199124381546,,Phantom,,DE,2264,2440,1,-6,27,1445,894,551,7,1653498292,1653498292
738249,64,2272,76561198074231669,,Mr Greed,DarkL,PT,2265,2296,1,-8,13,2468,1339,1129,13,1653417538,1653417538
3253348,65,2269,76561199083171406,,Combi | KingstoNe,Combi,MX,2260,2346,1,-13,12,541,311,230,4,1653001895,1653001895
1262725,66,2268,76561198807049261,,QNA_Noisick,,CL,2259,2324,6,-8,12,1203,682,521,6,1652837064,1652837064
575722,67,2267,76561198032569602,,Zuppi,,FI,2255,2428,4,-9,14,1787,957,830,14,1653480581,1653480581
2821727,68,2266,76561199031392883,,Fish,,AR,2252,2363,2,-7,9,933,498,435,3,1653405218,1653405218
197930,69,2264,76561198088178833,,T90Official,,US,2270,2303,-3,-9,11,1725,927,798,6,1653449939,1653449939
217905,70,2263,76561198116269715,,[AV]chart,ALL,JP,2251,2330,1,-7,11,865,513,352,7,1653315865,1653315865
239238,71,2260,76561198113285862,,Fedex,,AR,2250,2354,1,-7,12,703,404,299,7,1653408519,1653408519
1629889,72,2256,76561198354278976,,[KGB] Alive,1KGB1,BR,2250,2286,2,-7,7,1642,863,779,9,1653446493,1653446493
2309468,73,2255,76561198873127128,,Combi | Whocl,Combi,CL,2242,2307,4,-8,10,2303,1201,1102,30,1653258254,1653258254
3241077,74,2253,76561199082554539,,Rin,,VN,2266,2409,-3,-7,30,3115,1769,1346,28,1653465559,1653465559
2368761,75,2253,76561199047138712,,Margou,FrCo,FR,2260,2349,-4,-6,16,820,475,345,9,1653445177,1653445177
2776293,76,2247,76561199063069362,,Combi | KingstoNe,Combi,MX,2260,2363,-1,-6,11,1218,647,571,5,1653450553,1653450553
6170513,77,2242,76561199191718210,,Birystock,,AR,2231,2242,3,-4,21,257,160,97,2,1653432227,1653432227
357795,78,2241,76561198367209710,,CL.DracKeN,C1own,CZ,2233,2464,3,-13,15,6156,3406,2750,59,1653498381,1653498381
541127,79,2239,76561198084061002,,CL.RmcooTheHater_,C1own,LT,2254,2295,-1,-11,10,2494,1273,1221,8,1653496991,1653496991
2924270,80,2238,76561198120323774,,ElNoniro,Druz,PL,2276,2276,1,-4,16,160,121,39,0,1652118345,1652118345
250103,81,2236,76561198061054857,,Hallis,,GB,2274,2398,2,-8,13,2942,1545,1397,24,1651796053,1651796053
2759481,82,2236,76561199062343638,,Ngo Dinh Diem,HymTr,TR,2242,2403,-2,-8,19,387,250,137,1,1652408379,1652408379
9873875,83,2235,76561199260891276,,中菜鸟,,CN,2227,2258,1,-3,42,105,89,16,1,1652609860,1652609860
9280724,84,2234,76561199235280564,,Gerardo de Rivadavia,Biry,AR,2228,2234,3,-6,19,179,120,59,0,1653011455,1653011455
210388,85,2234,76561198017446264,,Rise,RoR,IT,2223,2386,3,-10,11,2095,1106,989,22,1653481406,1653481406
290617,86,2234,76561198273707230,,QNA Sobek,,CL,2221,2402,1,-11,15,1465,871,594,26,1653162672,1653162672
949573,87,2228,76561198138884370,,Socksyy,,AU,2215,2228,2,-7,11,840,466,374,11,1653465559,1653465559
788320,88,2227,76561198893721516,,GLX_Rusher,Bizim,TR,2213,2260,2,-8,11,2555,1304,1251,12,1653434481,1653434481
4012008,89,2226,76561198294644972,,chaos_2_win,,DE,2214,2226,2,-8,18,1374,713,661,5,1653227746,1653227746
4957841,90,2225,76561199136077200,,Combi | KingstoNe,Combi,MX,2263,2335,-1,-9,8,696,357,339,5,1651181527,1651181527
10051788,91,2224,76561199271943134,,Lorenz__,,TR,2210,2224,5,-4,19,124,93,31,7,1653315341,1653315341
4893987,92,2223,76561199133456349,,Biry,Biry,AR,2210,2223,3,-9,30,833,435,398,2,1653450553,1653450553
245117,93,2222,76561198078010430,,Cl3m3nT,FrCo,FR,2260,2277,1,-5,10,813,466,347,4,1652122245,1652122245
2844691,94,2221,76561199066277433,,twitch.tv/monoz_aoe,XEVER,AR,2209,2233,3,-12,19,2530,1291,1239,31,1653395517,1653395517
9555704,95,2217,76561199242460562,,FirstBlood,,DE,2207,2220,1,-1,32,77,70,7,0,1653058078,1653058078
3470871,96,2217,76561199092964064,,Rugila,,AR,2207,2250,1,-2,25,101,86,15,2,1652410852,1652410852
1200049,97,2216,76561199013132475,,Mr.Bean,VNS,VN,2206,2305,2,-8,13,1936,1026,910,26,1653491709,1653491709
3392033,98,2214,76561198342628047,,Ubetnir,,TR,2203,2235,1,-7,15,816,442,374,8,1652893663,1652893663
223206,99,2210,76561198085739429,,NOC | komtan,mome,JP,2223,2259,-1,-8,13,1116,620,496,12,1653482802,1653482802
2135484,100,2210,76561199035860327,,bruh,bKlan,BR,2222,2468,-1,-10,16,2410,1313,1097,17,1653487819,1653487819
